architecture,day,krs,length,surface
Zea_mays_1_Leitner_2010,7,0.05338449755702644,2875.540376659086,570.4131189856396
Zea_mays_1_Leitner_2010,8,0.05531555635538763,3381.96947522585,662.8414669686542
Zea_mays_1_Leitner_2010,9,0.05662376222275209,3858.9205739622603,749.3627117183312
Zea_mays_1_Leitner_2010,10,0.05752581597649335,4292.087709356476,828.2393877411034
Zea_mays_1_Leitner_2010,11,0.05822052560385164,4708.769128799788,903.9235924965722
Zea_mays_1_Leitner_2010,12,0.05876985280418441,5101.797339610221,974.7398789526167
Zea_mays_1_Leitner_2010,13,0.059291493171521235,5476.511104494963,1042.1576188269944
Zea_mays_1_Leitner_2010,14,0.0594734899066234,5818.645468343007,1103.6256122774062
Zea_mays_1_Leitner_2010,15,0.05893290606119842,6142.203818157703,1162.107657431787
Zea_mays_1_Leitner_2010,16,0.057498068126131736,6444.53268190541,1217.01421996301
Zea_mays_1_Leitner_2010,17,0.05529380175278711,6719.940510274166,1267.2252547749165
Zea_mays_1_Leitner_2010,18,0.052445214561951094,6967.1599141348925,1312.2096722210856
Zea_mays_1_Leitner_2010,19,0.054661367233533285,7206.270391408934,1355.8673690546332
Zea_mays_1_Leitner_2010,20,0.06239753631610623,7444.035254560529,1398.9278257899928
Zea_mays_1_Leitner_2010,21,0.06955460908992817,7668.186617542002,1439.531190159691
Zea_mays_1_Leitner_2010,22,0.0758194587674914,7872.148207067968,1476.5954845563656
Zea_mays_1_Leitner_2010,23,0.08092819754812916,8063.68995931389,1511.2393872664038
Zea_mays_1_Leitner_2010,24,0.08500142557235765,8240.012905271642,1543.3965133396305
Zea_mays_1_Leitner_2010,25,0.0881424129634007,8391.271945829543,1571.0749616390117
Zea_mays_1_Leitner_2010,26,0.09062594736626126,8531.998951719801,1596.9741053808295
Zea_mays_1_Leitner_2010,27,0.09253463680176528,8666.673949193544,1622.06630396212
Zea_mays_1_Leitner_2010,28,0.09387154945010566,8801.025991849028,1646.6616881430323
Zea_mays_1_Leitner_2010,29,0.09478076894838004,8932.600044295865,1670.4485996256717
Zea_mays_1_Leitner_2010,30,0.0954041216284694,9051.630152996488,1691.9781513207736
Zea_mays_1_Leitner_2010,31,0.09563650355672447,9155.010681822663,1710.8194327759416
Zea_mays_1_Leitner_2010,32,0.09557558436682353,9251.369327003926,1728.3179061837502
Zea_mays_1_Leitner_2010,33,0.09523870292003857,9338.53451281978,1744.1550202910755
Zea_mays_1_Leitner_2010,34,0.09469604040500336,9423.807466037877,1759.621440248162
Zea_mays_1_Leitner_2010,35,0.09402325179945013,9512.703699908627,1775.7513397009084
Zea_mays_1_Leitner_2010,36,0.09313417344650757,9588.034881017946,1789.405388245949
Zea_mays_1_Leitner_2010,37,0.09216118818194473,9653.70293453455,1801.3574077508924
Zea_mays_1_Leitner_2010,38,0.0911894280486527,9721.643410092043,1813.5703676870307
Zea_mays_1_Leitner_2010,39,0.0902193152780085,9785.936511916003,1825.2933081286674
Zea_mays_1_Leitner_2010,40,0.08915818797970093,9844.655055895932,1836.0730251125465
Zea_mays_1_Leitner_2010,41,0.08802378358488071,9893.533783161816,1845.1459975222865
Zea_mays_1_Leitner_2010,42,0.08692999808083982,9941.882394986545,1854.103480311398
Zea_mays_1_Leitner_2010,43,0.08593002627485416,9995.089121022953,1863.6567749489768
Zea_mays_1_Leitner_2010,44,0.08494680761691945,10043.374038791677,1872.4860435508408
Zea_mays_1_Leitner_2010,45,0.08401383344909015,10088.20832981788,1880.5733051123007
Zea_mays_1_Leitner_2010,46,0.08303351814866021,10128.699115823625,1887.9246781196605
Zea_mays_1_Leitner_2010,47,0.08195739880168787,10168.27127805732,1895.1036851060935
Zea_mays_1_Leitner_2010,48,0.08170601852795202,10208.405408945435,1902.4080810867881
Zea_mays_1_Leitner_2010,49,0.0821744463120118,10246.44290972439,1909.2263963346172
Zea_mays_1_Leitner_2010,50,0.08258844651457493,10274.2709284421,1914.3451239525307
Zea_mays_1_Leitner_2010,51,0.08283289860060673,10299.744339409612,1919.0481385332444
